n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61133A;Courtomer | Place de la Mairie ; Place de la Mairie 61390 Courtomer;;0.357996;48.627666;2;FR*S61*E61133A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61143A;Damigny | Allée du Stade ; Allée du Stade 61250 Damigny;;0.073742;48.448032;2;FR*S61*E61143A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61143A;Damigny | Allée du Stade ; Allée du Stade 61250 Damigny;;0.073742;48.448032;2;FR*S61*E61143A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61143B;Damigny | Mont Foulon ; Mont Foulon 61250 Damigny;;0.059077;48.443954;2;FR*S61*E61143B11;22.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61143B;Damigny | Mont Foulon ; Mont Foulon 61250 Damigny;;0.059077;48.443954;2;FR*S61*E61143B12;22.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61145A;Domfront en Poiraie | Place de la Roirie ; Place de la Roirie 61700 Domfront en Poiraie;;-0.650602;48.594050;2;FR*S61*E61145A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61145A;Domfront en Poiraie | Place de la Roirie ; Place de la Roirie 61700 Domfront en Poiraie;;-0.650602;48.594050;2;FR*S61*E61145A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61145B;Domfront en Poiraie | Rue du Mont Saint-Michel ; Rue du Mont Saint-Michel 61700 Domfront en Poiraie;;-0.661132;48.589447;4;FR*S61*E61145B13;60.000;23;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61145B;Domfront en Poiraie | Rue du Mont Saint-Michel ; Rue du Mont Saint-Michel 61700 Domfront en Poiraie;;-0.661132;48.589447;4;FR*S61*E61145B12;60.000;22;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61145B;Domfront en Poiraie | Rue du Mont Saint-Michel ; Rue du Mont Saint-Michel 61700 Domfront en Poiraie;;-0.661132;48.589447;4;FR*S61*E61145B14;2.300;EF;Payant;24/24 7/7;;2020/07/10
